제목,시간,별점,날짜,본문,연수 분야,가격,대상
수업을 살리는 체육 레시피,30,5점,2024.06.13,아이들이 정~~~말 좋아하는 체육을 더 더 즐겁게 해주기 위…,교과수업,"70,000 원",유치 초등 교육전문직 일반
수업을 살리는 체육 레시피,30,5점,2024.04.09,간혹 학교에 물품이 없어서 하지 못하는 체육 활동들에 대한 …,교과수업,"70,000 원",유치 초등 교육전문직 일반
수업을 살리는 체육 레시피,30,5점,2024.01.22,새학기 재미있는 체육 수업을 위해 ~,교과수업,"70,000 원",유치 초등 교육전문직 일반
수업을 살리는 체육 레시피,30,5점,2024.01.16,수업하다가 학생들이 가끔 싫어하는 단원들도 있어 이로 응용해…,교과수업,"70,000 원",유치 초등 교육전문직 일반
교사를 위한 교실 밖 여행인문학,15,5점,2024.06.10,저는 여행에 관심이 많은 교사입니다. 학기중 바쁜 일정으로 …,인문교양,"40,000 원",전체
교사를 위한 교실 밖 여행인문학,15,4점,2023.12.26,여행은 답답한 일상에서 오는 스트레스를 해소해 줍니다. 그러…,인문교양,"40,000 원",전체
왕초보를 위한 캘리그래피,15,5점,2024.06.10,"미술시간에 아이들과 캘리그라피 해봤었는데,이렇게 자세히 알려…",자기계발,"40,000 원",전체
왕초보를 위한 캘리그래피,15,4점,2024.02.22,화면에서 같이 배우시는 선생님과 함께 천천히 따라하고 열심히…,자기계발,"40,000 원",전체
그림검사와 다양한 기법으로 만나는 미술치료,30,5점,2024.06.07,학생들이 감정이나 내면세계를 미술 활동을 통해 표현하므로 학…,자기계발,"70,000 원",전체
그림검사와 다양한 기법으로 만나는 미술치료,30,5점,2024.05.29,학생들의 마음을 어루만질 수 있는 다양한 미술활동을 배우게 …,자기계발,"70,000 원",전체
그림검사와 다양한 기법으로 만나는 미술치료,30,4점,2024.05.21,"수업을 시작하기 전에 늘 엎드리려고만 하던 아이들이나
피곤해…",자기계발,"70,000 원",전체
같이 읽고 함께 나누는 독서수업방법,30,5점,2024.06.06,워낙 독서토론 분야에서 유명하신 김성현 선생님 강의가 티셀파…,학습지도,"70,000 원",초등 중등
정훈쌤의 뚝딱 칼림바,15,5점,2024.06.04,제가 제작년 음악선생님과 칼림바 동아리를 하면서 이 악기의 …,자기계발,"40,000 원",전체
"이구동성, 마음을 다루는 미술활동",15,5점,2024.06.04,활동 내용의 구체적인 사례가 도움이 많이 되었습니다. 다양…,자기계발,"40,000 원",전체
수업을 살리는 미술 레시피,30,5점,2024.06.04,미술 수업에 활용하기 좋은 연수였습니다. 동영상으로 제작되어…,교과수업,"70,000 원",유치 초등 일반
수업을 살리는 미술 레시피,30,5점,2024.04.19,"수업 때 미술을 어떻게 활용하면 좋을까?

미술 전공자도 늘…",교과수업,"70,000 원",유치 초등 일반
손그림과 파워포인트로 교실 속 콘텐츠 만들기,30,5점,2024.06.04,초등학교 수업을 하다보면 칠판에 그림을 그릴 일이 많이 있습…,ICT정보화,"70,000 원",전체
손그림과 파워포인트로 교실 속 콘텐츠 만들기,30,1점,2024.04.22,너무 어려워요,ICT정보화,"70,000 원",전체
손그림과 파워포인트로 교실 속 콘텐츠 만들기,30,3점,2024.04.02,어렵지 않게 이수했습니다.,ICT정보화,"70,000 원",전체
손그림과 파워포인트로 교실 속 콘텐츠 만들기,30,5점,2023.12.25,파워포인트도 늘 쓰던 단순한 기능만 썼었는데 이번 연수를 통…,ICT정보화,"70,000 원",전체
손그림과 파워포인트로 교실 속 콘텐츠 만들기,30,5점,2023.12.21,동료와 함께 그림을 그리며 함께 그리는 시간이되어 정말 재미…,ICT정보화,"70,000 원",전체
손그림과 파워포인트로 교실 속 콘텐츠 만들기,30,5점,2023.12.19,어러웠지만 재미있는 연수였습니다. 겨울 방학 동안에 만화 작…,ICT정보화,"70,000 원",전체
