제목,연수 분야,시간,후기,별점,날짜,가격
그림으로 배우는 한국사 이미지 노트 2,교과지도,30,역사를 재미있게 자세히 복습할 수 있었습니다.,5,2024-06-14,65000
흔들리지 않는 교실을 위한 단호한 학급운영,학급경영,30,"쏭쌤과 이종대왕 샘! 너무 대단하시고 감사합니다. 평소에 영상으로 접하다가 알짜배기 수업놀이, 학급놀이를 정리하고 실제 활용할 수 있는 놀이들을 구성해주셔서 많은 도움이 될 것 같습니다! 다음에 2탄 연수를 바라며~",5,2024-06-13,85000
흔들리지 않는 교실을 위한 단호한 학급운영,학급경영,30,유익한 내용이 많았습니다. 고맙습니다.,5,2024-05-23,85000
흔들리지 않는 교실을 위한 단호한 학급운영,학급경영,30,저경력교사에게 학급운영을 어떻게 해나갈지 큰 그림을 그려볼 수 있는 연수였습니다.,5,2024-05-04,85000
흔들리지 않는 교실을 위한 단호한 학급운영,학급경영,30,유익한 연수였고 교재로도 유튜브로도 많은 도움을 받았습니다.,5,2024-04-18,85000
흔들리지 않는 교실을 위한 단호한 학급운영,학급경영,30,알차고 유익한 내용 감사드립니다!,5,2024-04-02,85000
흔들리지 않는 교실을 위한 단호한 학급운영,학급경영,30,흔들리지 않는 교실을 위한 단호한 학급 운영 새학기 아이들 학급 운영에 많은 도움이 되었습ㄴ디ㅏ.,5,2024-03-11,85000
흔들리지 않는 교실을 위한 단호한 학급운영,학급경영,30,새학기에 불안한 마음이 많이 드는 신규 교사에게 큰 도움이 되는 연수였습니다!! 특히 교실 속 문제 상황을 어떻게 해결하면 좋을지 고민이 많았는데 문제 상황에 대한 마음가짐과 실제적인 해결 방법들을 알 수 있어 좋았스빈다.,5,2024-02-28,85000
흔들리지 않는 교실을 위한 단호한 학급운영,학급경영,30,오랜만에 복직해서 힘든 아이들을 만나게 되어 교사로서 너무 힘든 한해를 보냈었는데 이 연수를 통해서 용기를 얻게 되었습니다. 이번해에 만나는 아이들에게는 조금 업그레이드된 선생님으로서 만날 수 있을 것 같습니다. 좋은 연수 너무 감사합니다.,5,2024-02-20,85000
흔들리지 않는 교실을 위한 단호한 학급운영,학급경영,30,교사들이 원리를 모르는 게 아닙니다. 그 원리를 어떻게 실제 교실에서 구현하는 지가 어려웠을 뿐! 그것을 멍멍 샘이 하나하나 실제로 보여줍니다. 구체적인 사례와 구체적인 교사 멘트 구성으로 정말 손에 쥐여주고 떠 먹여주는 완전 이해 100%를 추구하여 설계한 연수였고 저는 감동했네요. ^^,5,2024-02-13,85000
흔들리지 않는 교실을 위한 단호한 학급운영,학급경영,30,한국어교원이 되는 것이 쉽지는 않습니다. 우선 120차시의 장시간 학습을 해야합니다. 하지만 한국어뿐만 아니라 한국의 역사 문화에 대한 안목도 넓히고 정리할 수 있는 내용으로 구성되어 있어 본 목적외에 부차적인 효과도 얻을 수 있는 강의였습니다.,5,2024-02-07,85000
